manuscript-plate-fragment,identifier
11Q10-627-1,c195c92e90902c7b3287d73097f4d1199fa9e8409fb251a51c3702d349de1294
11Q10-627-2,c8679b02bd2256e296290dcf7227740c94f044a48a79e67e06d175577c200d4
11Q10-628-1,fc23cbc6115bf9a0908cc00046702871e30a810280a83fdf1456cae9a7c4c70
11Q10-628-2,47f3a1e610d80534b691587a3e017d414cdef6f1786b6077cf006f43b4043fcf
11Q10-632-1,8ef58ec0ad1bfcb0b8729454a5f481554704f94496aa22f1a9bf6894e58861f
11Q10-632-2,59283b09cc347a9c50c99fb5835f79d4f8ffddc50fa591e9c4a56f770a67f64
11Q10-633-1,969fbcc5fbe392f4ceb4919f8f15c6d2593edea1f8f04a0054a4ded8efebf24
11Q10-633-2,26460c5508ebad895184bc218485d018dd6cae07dee9d3c612f4fd7b38390753
11Q10-636-1,1a79c94c892c1f8328a5584aae8eeb37148fdf2fd1437bc660c31155e32dd2df
11Q10-636-2,cc43b557d1dd37bf4e4bde054254756fcce7902fea1225f656c8b72b56221d45
11Q10-637-1,a0143ccf4da8fdb10409166f1888ef8660111bedf0cd604249e857d7b5521769
11Q10-637-2,ced101cb31880bec36da2c6ee449bb9f5be53f86b6a55c028513e75f95eaf440
11Q10-1311-1,e418b2d1c20c84653e9addfb1e995d79f5c6b5a1c5e3ef4f850f523ad6b3314d
11Q10-635-1,2b3186ea98fd6fa6b6b99614e377bc894de36c984471e9ef3e9ce6e73b8a7160
11Q10-635-2,50e4f823f8a3a1c04fb79f9f6d8e7701dbd4b3400756ff709ae5456eb9dd7c67
11Q11-1032-3,7fa4ad58acd03a26a403ca3c2fef146d378079748f63407a88bce712eac1f421
11Q11-1032-5,e0177e49e482f36875f5da52ce80390b299cb1f9577e00326c60ac7dfa8397f1
11Q11-61-1,25d328ff5378f744f6b506bb9c03ef0e4d92c1c6388098bd90ee2ef2bbb1a0cd
11Q11-61-2,bf411568e8377758bce0bfc3a9cdbc123a13f7d70b1277f32fa7a5cd55288bd3
11Q11-612-1,3723a8dbdbe722ef9b69302a2175e3bd2c2a0165ca5dc950c855f13b948a3f0b
11Q11-612-2,8713def209e88604cf46b020d767534987a3f1b8b1a24feac3aa5cf47c720197
11Q11-619-6,c13a5c17987e507ae9220fabe1602e7fd0f422182573daaeab8074883c0189aa
11Q11-619-8,cfe40a45e06ba1f5f9e1bb642969f81b174266ed63a88d60bce7cce7f7e9d221
11Q13-579-1,c893301d653513651ac9ecaaf18e90fa801f35917150c8216316b1adfbaae400
11Q13-579-2,a7e865920062c4e896adc2f02346cbbb34d7c6dd7e66eb499ace87a6ec6afe2c
11Q13-579-3,dbad6656ec1149168b4c6f79b1233c7d67877030d6dddd279b04b0a6a081eed4
11Q13-579-4,7ffe46863fe40b6d899c618937e30d552dd6abb6e23593d3112311e62a88bbb7
11Q13-579-5,7214bf439ccaad8bfe58d12765ebb54de0c03f47fb5e54b6c6a7ffdf2b22b073
11Q13-579-6,a9cca49fb1a5e5adab70cd9c3ad769ef55b6dccd257501c2927ebc296af34964
11Q13-579-7,900b12e9c3b5c88f904fbc9faf1f6a8231d31a6d0ce4e8cbf74bd5bddb9f46c0
11Q13-579-8,8a1dff859f422edc623fa390a8a76c0a198df6bf03b8825aece5345fd1a2fdb4
11Q13-579-9,15390ec966608eb498e64eaaad7856735003375c2740efdd9a1a9038e455af1d
11Q13-579-10,ca58be6afc5c56a37d35e9524081aa7c6ca9477653761fd58bdbdfa4920d4aed
11Q13-579-11,aae37fa6f0eeb9de4e9a387c6cb2f9e5850082908d09cde4cb4abfeb08b7586c
11Q13-579-12,b82e96bfb7befd4a5f53b89ac08987913759f60f48d12c87dc7acd1b1f8f6f51
11Q14-614-11,71b9579a5fab607fb9803a5463f5c1db5d88edcae4050d7403d3bcd730897fa5
11Q15-1025-2,353abd28c3d95b9b4c20a9f2da272be692a6f7c7b2c8843643f1d0931e9b65d1
11Q15-576-1,61e9dc63327d0cd6825137ea8f7b75dbc9047948bc0f5eac2995565f8ef9eead
11Q16-614-9,ca38cc770d5eaf95ec569145aa509b61ac5bd6f9a57929a13f1c3e8359ef2daf
11Q17-565-1,9f7556544229356ae3ca3a0b06dadb3278dc12aa7cb2bcef1eb551d0de3807b1
11Q17-565-2,7b1a6a0c447741f22ddee8375fbf1b335ac86d1a54abd80a438d14227b59e708
11Q17-565-3,d801dd0232aad0a01dd07b5edbb9891ce841187d6e598aa7e16cbc5bc7a495b8
11Q17-565-4,786cad1798e7bd0106b0bd7d86a4de666c3853d7564ade60049d6a75f1b534dc
11Q17-565-5,c9157c53e1da3aac758d097ccd072a0eef008c6e5137668f00a4a638e760000
11Q17-565-6,8eb3dedc0af3ac28e95301440ab9da5f5bac05e78aa4e330297c1bb86d7d5507
11Q17-565-7,e4113aa5279b37a88c1a5481d4fd19c53f6d2b9445d278ef9c472dad51c29bef
11Q17-565-8,bb46b3650a8e6ca5e0da61b3a68c83c86ef4f89425ad49c55c3721d84a35feae
11Q17-565-9,db7e52c46e8b08af6ef1f104e7c56a9596630e78b662d6329937ffac3a2ade59
11Q17-565-10,97c8cee1ce7d4c323be70f618a9c5f22d5a17de3d9718b9f8cb8e3279fabaf9
11Q17-565-11,4bf7eb17f00b22effc7e483d624b0585ebf6f923c2c619241141f9d47dd9929b
11Q17-565-12,bed042829c6651b3b92cd1855f3012b45368516f0310358d5e9e9f96002cc56f
11Q17-565-13,bf2f0a848707f303e8d3c094a0a6fffd7a6c4245c8896afb74d6f630d27e6d2a
11Q17-609-1,61a99c7db96c9649ca0385c52a3632cab93046b9e9ac9f765bf663a776b6a1c2
11Q17-609-2,342a5fb0244d689ecf7cd125b545ec72129fdd190b3cee36df531c04a7e7f9c1
11Q17-609-3,d7a2860fdd33d54091a851e0dbd22327226ab7e1e3c20c03b59277213dc7c61a
11Q17-609-4,fad101ac986507154776fceba0500e69a7d2e583c7ebdd9459c0f219d9679541
11Q17-614-19,2d10c9c0d10c6cb5d56c4c4a6992efe9a1c6dade4602392ba84a7d5f7294b2c
11Q17-614-21,f3184064a8fa9c1a6456a1a47b1530e339f909d1441bb03fef2bb39b9d31d9f
11Q17-618-2,e6967f54ba1a90b7a39d87eef8c289b895c56a629b75ca076fe87e66dfcd4a9e
11Q17-618-3,6be320851eb74591e4833f0ce7c2a0ebc9e55db32ebb055574781050718d3ccb
11Q17-618-4,6149ff7cfe163394f2f1f660454b76a4f648ec7b02e1a0f52070a9fe4a7b1f01
11Q17-620-1,fc099ede145492b342364c9b702367530be951194e2cb53d03c17087a4eb0901
11Q17-620-2,b6737341255969ea08d4e0abcbf0d1c2ea7e280a1001987d5fc61b56eafb01b7
11Q17-620-3,c77c4340fc331412196ed9a44192635387e7cacb3ebdcc7535d4af3b85593bc4
11Q17-620-4,175ea8343e0454587a07aeaa3dc4adb70dbdefda66bd0822cf1dc9ec10539ed8
11Q17-620-5,3da267af605b8932aa5b08894970164b0f35d776d885cb52efb48bddc7494db7
11Q18-564-1,341cda8a340cef18d5e00d3423d29f9ab071850b82462c90a6925e31a08e256e
11Q18-564-2,db247f339a15605d5c8798ad04fa0427fe0f1d865872be73407534c62d038e94
11Q18-564-3,7d28164d6e78bbc102c12d8ef755a9589adf913c092139bac5112cd5c439bc89
11Q18-568-1,486940fc258285343b5b5e3447fe6602b2732d0ed3863b664e320ea8c45381e4
11Q18-568-2,a81a3460dbcab22b43ae1a0a72703be7fe7b08467c97152791228d4d02770618
11Q18-570-1,572da8ca23fc1603fedb1aa6b4ae3c25dcf240ab6bb5f26675d7be71afb68995
11Q18-570-2,7c6893d1fca002e7e2210bb88aa198837dabaeb41fbe086e0d0af37c3673fff
11Q18-570-3,f44a57e509010e2b63dcb82ae47175c6725d86bf05c9c84e6e1470cbc199a890
11Q18-571-1,509f3164c40d9f53afc0ead2e4f9a98c2e0aaea4e465db75a28f7906056e67cb
11Q18-571-2,32f904b1fcfa3bf6026e1a647b6136c04af5400c5a93bc083e01ede534d58a06
11Q18-571-3,7cd3609167670d8d7c9c99df0ae20501a217f5daa06cf320bb29753ca4cc7e55
11Q18-571-4,ccd79358826b3d803ec9d6742b4118a71d1892ad3770237159db145d9c372656
11Q18-572-1,b2916ed1e9d212bf423f5a80cd8c697bd146782154ae80e7749fc70f2340a9f1
11Q18-572-2,2994b3b9dd0b0848a9acbaf97115192a0efc1e42fddd576c28942332b360091f
11Q18-572-3,86242ef0986ee008f86b5dae6a3181bc45a113e6e30c947302958902d22e7a87
11Q18-572-4,954563812587588aad456766097049cac49c85f9daa21133480d3961f399f95c
11Q18-572-5,cbc03594ac90e9275ee9ba7f62b2304627251f13012906cc42741076a8e5cd70
11Q18-572-6,1345054b8836226adbc464b39cbbd65062ea205d5a04e5f72c0ab96efee55d5f
11Q18-572-7,a8a7d68296e0b1887dcf969ed19063ae172939dbec5d6aef4b873dd980f9bc8d
11Q18-572-8,da316f5b641b6b16f553412393bb1c27f044606b09141ba71b3df99036688f39
11Q18-572-9,f9bf1fb530f6b02ea5a4b030ebdd2da48b15a7366cf684642dad2a560058093b
11Q18-572-10,d5cfafaaa6a8e0aef3c8c888c905134224e918cecef10e834e58945a67a1760e
11Q18-572-11,a485f39629ab02b84cdead2899530e8b14d1086921e646c7d47c7262d8fb9af
11Q18-572-12,a49b732bc8a53713cbb1ed647f5ee9a9ff5bc2b544c67101b5346664712f410
11Q18-572-13,63813dc1d1026a35cae910d5473dafd203e186c880939924fd3384c336853607
11Q18-572-14,cbd7c6522e170dabab2ebd282c08df1882c59d459a3a0cdf675576936822a6a0
11Q18-573-1,c91a6271b65d2193efdc57f0cd4ce4726521c192915dec9c57440c5de4d14960
11Q18-573-2,47f6e0d90d4ab23bd935524a2318e86b03a80c08410a7632c8e8de9e0e0c3289
11Q18-573-3,957e52680cfd3084ec22d358c6451c7baf6757e70f5a04a0129bf0c436ccd55f
11Q18-574-1,e255b10753111926f5530013af1b8327431fb31bd38752c1b5539706e73f9a7
11Q18-574-2,5d19f38b3545cea3ed4566e48daaee0c35828cb1bc1de9c89a917ce414882561
11Q18-578-1,8f1bb183bca9c72d16d249da329cea8c057a52e0ab37aa5dc1127ac9cf0a8320
11Q18-578-2,6e5df9cc73b004a50f135463240e3612e4955196adcc69010178d79b767f1461
11Q18-578-3,b8342ee19a7d8a4768119e0930a77f9fc3c873a0822855077591e32bb0383581
11Q18-578-4,655235177356f3dfdcba1a2d2d27b279eeace90f5519224ea90a41d76ce0bc85
11Q18-611-1,8d3b8efbfca4ca07e7ba85e5186c33ff1d40e90814375be40cce8b05b11d93a5
11Q18-611-2,7e02f79e8e98b438aa4a17499dde76fa6731d2b10b3eb043d2a0a6cca1136d8d
11Q18-617-1,84e9bda61c5f8214da125e00a727361e0a88b14661b77e8583fa1415177ddfa9
11Q18-617-2,d5ad3f49fe2c8dfe32c8fc1987ef618810067f6dbe8c9734497ec279d4dfa55d
